video_id,title,keyword,keyword_zh,school_slug,school_zh,township_slug,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,youtube
NyfsWBj5isk,Word of the Day: Mother's Day (n) 母親節,Mother's Day (n),母親節,chungshan,彰化縣彰化市中山國小,changhua-city,The students are making Mother’s Day cards.,學生們正在製作母親節卡片。,They are drawing pictures and writing messages to show their love for Mom on Mother’s Day.,他們在母親節畫畫、寫信表達對媽媽的愛。,https://www.youtube.com/watch?v=NyfsWBj5isk
nuT6_5Alldg,Word of the Day: recorder (n) 直笛,recorder (n),直笛,pinghe,彰化縣彰化市平和國小,changhua-city,The recorder is the first musical instrument that many students learn.,直笛是很多學生學的第一項樂器。,You can play many songs on a recorder.,你可以用直笛吹奏很多歌曲。,https://www.youtube.com/watch?v=nuT6_5Alldg
IcqRwtytKpY,Word of the Day: computer class (n) 電腦課,computer class (n),電腦課,pinghe,彰化縣彰化市平和國小,changhua-city,The students learn how to use computers in computer class.,同學們在電腦課中學習如何使用電腦。,Each student uses a computer during computer class.,每個學生在電腦課的時候都有一台電腦可以使用。,https://www.youtube.com/watch?v=IcqRwtytKpY
VdmZGysrxNI,Word of the Day: basketball (n) 籃球,basketball (n),籃球,pinghe,彰化縣彰化市平和國小,changhua-city,The students play basketball outside.,同學們在外面打籃球。,They shoot the ball when playing basketball.,他們在打籃球的時候投籃。,https://www.youtube.com/watch?v=VdmZGysrxNI
zp9JSUUnjuU,Word of the Day: farm (v) 種植、耕作,farm (v),種植、耕作,mingli,彰化縣田中鎮明禮國小,tianzhong,The students learn about farming at school.,學生們在學校學習農業耕作的知識。,The school has land to farm different crops.,學校有土地可以種植不同的作物。,https://www.youtube.com/watch?v=zp9JSUUnjuU
aSvV4qgFpPc,Word of the Day: professional development (n) 專業進修,professional development (n),專業進修,pinghe,彰化縣彰化市平和國小,changhua-city,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,https://www.youtube.com/watch?v=aSvV4qgFpPc
Ly_2mN4nR8I,Word of the Day: climbing trees 爬樹,climbing trees,爬樹,xishi,彰化縣福興鄉西勢國小,fuxing,The students use special equipment to climb trees.,學生們使用特殊設備爬樹。,The instructors teach students how to climb the tree safely.,指導員教學生如何安全地爬樹。,https://www.youtube.com/watch?v=Ly_2mN4nR8I
fkBktbuRXr4,Word of the Day: calligraphy (n) 書法,calligraphy (n),書法,renfeng,彰化縣田尾鄉仁豐國小,tianwei,The boys and girls are learning traditional Chinese calligraphy.,這群男孩和女孩正在學習中國傳統的書法。,"To get good at calligraphy, you have to have a lot of patience!",書法要寫得好必須要很有耐心。,https://www.youtube.com/watch?v=fkBktbuRXr4
66lyCQ8dcHg,Word of the Day: basketball (n)籃球,basketball (n),籃球,renfeng,彰化縣田尾鄉仁豐國小,tianwei,The students play basketball outside.,同學們在外面打籃球。,They shoot the ball when playing basketball.,他們在打籃球的時候投籃。,https://www.youtube.com/watch?v=66lyCQ8dcHg
2Xv8D6VqSZQ,Word of the Day: Chinese flute (n) 笛子,Chinese flute (n),笛子,mingli,彰化縣田中鎮明禮國小,tianzhong,The Chinese flute is a woodwind instrument.,笛子是一種木管樂器。,"To play the Chinese flute, you need good breath control and the right finger positions.",吹奏笛子需要良好的氣息控制和正確的手指位置。,https://www.youtube.com/watch?v=2Xv8D6VqSZQ
3GFprPc17cs,Word of the Day: watercolor (n) 水彩,watercolor (n),水彩,kuaiguan,彰化縣彰化市快官國小,changhua-city,"In art class, the students are painting with watercolor.",學生們在美術課用水彩畫畫。,"To use watercolor, you need a brush, a palette and water.",用水彩繪畫時，你需要畫筆、調色盤還有水。,https://www.youtube.com/watch?v=3GFprPc17cs
MPNtsCIyAj0,Word of the Day: recess  (n) 下課時間,recess  (n),下課時間,renfeng,彰化縣田尾鄉仁豐國小,tianwei,"After the bell rings for recess, most students go outside to play.",下課鈴聲響起後，大多數學生都在外面玩。,"Recess is when kids can play outside, run around, and have fun.",下課時間是孩子們可以在外面玩耍、跑來跑去、玩得開心的時候。,https://www.youtube.com/watch?v=MPNtsCIyAj0
hk6iVT43djo,Word of the Day: professional development (n) 專業進修,professional development (n),專業進修,renfeng,彰化縣田尾鄉仁豐國小,tianwei,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,https://www.youtube.com/watch?v=hk6iVT43djo
is_HjlFocro,Word of the Day: go over 複習、檢討,go over,複習、檢討,wenkai,彰化縣鹿港鎮文開國小,lukang,The students go over the answers on the quiz before taking an exam.,學生在參加考試前會仔細檢查測驗的答案。,The teacher helps the students go over the answers on their quizzes.,老師幫助學生複習測驗的答案。,https://www.youtube.com/watch?v=is_HjlFocro
ozCENEcaTD4,Word of the Day: cook (v) 煮,cook (v),煮,jhutang,彰化縣竹塘鄉竹塘國小,zhutang,The students cook vegetables freshly picked from the school garden.,學生們烹調從學校菜園新鮮採摘的蔬菜。,They learn the importance of cooking locally grown vegetables.,他們了解烹飪當地種植的蔬菜的重要性。,https://www.youtube.com/watch?v=ozCENEcaTD4
HHoCQEVoP40,Word of the Day: dance routine (n) 舞蹈動作,dance routine (n),舞蹈動作,wanlai,彰化縣北斗鎮萬來國小,beidou,"The girls work very hard, rehearsing their dance routines with their instructor.",這群女孩子很認真和老師排練他們的舞步。,"Once they know the moves like the backs of their hands, the girls perform their dance routines in front of their classmates.",一旦他們將舞步練到很熟之後，他們在同學的面前表演。,https://www.youtube.com/watch?v=HHoCQEVoP40
hXlVQ5nqjBI,Word of the Day: recycling (n) 回收,recycling (n),回收,datong,彰化縣伸港鄉大同國小,shenkang,Recycling is a way to reuse materials like paper and plastic.,資源回收是將紙類和塑膠之類的材質再次回收使用。,Recycling can help take care of the planet.,資源回收有助於照顧我們的地球。,https://www.youtube.com/watch?v=hXlVQ5nqjBI
b2z_WZU0zsU,Word of the Day: mobile library (n) 行動圖書館,mobile library (n),行動圖書館,fude,彰化縣永靖鄉福德國小,yongjing,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=b2z_WZU0zsU
-M_RfDF9Ed0,Word of the Day: school band (n) 學校樂隊,school band (n),學校樂隊,wanlai,彰化縣北斗鎮萬來國小,beidou,The school band provides music for the morning assembly.,學校樂隊為朝會儀式演奏音樂。,Students in the school band play different instruments.,學校樂隊的學生演奏不同的樂器。,https://www.youtube.com/watch?v=-M_RfDF9Ed0
cOyyv7Dj1kY,Word of the Day: shoot (v) 投籃,shoot (v),投籃,lushang,彰化縣芳苑鄉路上國小,fangyuan,The students are practicing shooting the basketball.,學生正在練習投籃。,They take turns shooting the ball.,他們輪流投籃。,https://www.youtube.com/watch?v=cOyyv7Dj1kY
mVv7i4FDyJQ,Word of the Day: reading 閱讀,reading,閱讀,taihe,彰化縣彰化市泰和國小,changhua-city,Look at the students. They’re all reading quietly.,看看這群學生，他們閱讀時多麼安靜啊！,Reading often can help you improve your vocabulary and learn many new things.,閱讀經常可以讓你增加字彙並且學到很多新知。,https://www.youtube.com/watch?v=mVv7i4FDyJQ
WmjizPN9QMY,Word of the Day: professional development 專業進修,professional development,專業進修,taihe,彰化縣彰化市泰和國小,changhua-city,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,https://www.youtube.com/watch?v=WmjizPN9QMY
WcPU8nqr1Mg,Word of the Day: wash your hands 洗手,wash your hands,洗手,dayuan-puyan,彰化縣埔鹽鄉大園國小,puyan,It's important to wash your hands after using the bathroom.,上完廁所後洗手是很重要的。,Make sure to wash your hands with soap and water before eating.,確定在吃東西之前要用香皂和水來洗手。,https://www.youtube.com/watch?v=WcPU8nqr1Mg
oEg0tVNIxuo,Word of the Day: dance (v) 跳舞,dance (v),跳舞,dayuan-puyan,彰化縣埔鹽鄉大園國小,puyan,The students dance to the music.,學生們跟隨著音樂節奏跳舞。,The students dance together in class.,學生們在課堂上一起舞蹈。,https://www.youtube.com/watch?v=oEg0tVNIxuo
Gr5QYgn9Qsk,Word of the Day: professional development 專業進修,professional development,專業進修,dayuan-puyan,彰化縣埔鹽鄉大園國小,puyan,"In Taiwan, all elementary schools have professional development on Wednesday afternoons.",台灣所有小學老師在週三下午有專業進修。,Teachers learn new skills and strategies during their professional development.,老師在專業進修時學習新技能與教學策略。,https://www.youtube.com/watch?v=Gr5QYgn9Qsk
YwYbXNr-CaE,Word of the Day: ocarina (n) 陶笛,ocarina (n),陶笛,dayuan-puyan,彰化縣埔鹽鄉大園國小,puyan,These students are playing the ocarina.,這些學生正在吹陶笛。,The ocarina is a musical wind instrument.,陶笛是一種管樂器。,https://www.youtube.com/watch?v=YwYbXNr-CaE
dUwwXPoRnNM,Word of the Day: observe (v) 觀課,observe (v),觀課,cundong,彰化縣大村鄉村東國小,dacun,Some teachers are in the back of the classroom observing the class.,有些老師在教室後面觀課。,Teachers improve their teaching skills by observing others' classes.,老師藉由觀課來提昇自己的教學技巧。,https://www.youtube.com/watch?v=dUwwXPoRnNM
PklPAyDTdwo,Word of the Day: martial arts 武術,martial arts,武術,yongfeng,彰化縣福興鄉永豐國小,fuxing,The students learn martial arts outside.,學生在室外學習武術。,The instructor instructs the students in martial arts.,教練指導學生武術。,https://www.youtube.com/watch?v=PklPAyDTdwo
PKdQ0B6YM58,Word of the Day: harmonica (n) 口琴,harmonica (n),口琴,fangyuan,彰化縣芳苑鄉芳苑國小,fangyuan,The students practice the harmonica in class.,學生在課堂上練習口琴。,They play the harmonica in unison.,他們齊聲吹口琴。,https://www.youtube.com/watch?v=PKdQ0B6YM58
IaFfFL6yq44,Word of the Day: wash your hands 洗手,wash your hands,洗手,wenkai,彰化縣鹿港鎮文開國小,lukang,It's important to wash your hands after using the bathroom.,上完廁所後洗手是很重要的。,Make sure to wash your hands with soap and water before eating.,確定在吃東西之前要用香皂和水來洗手。,https://www.youtube.com/watch?v=IaFfFL6yq44
JfSLS_JR0tk,Word of the Day: correct (v) 改正,correct (v),改正,wenkai,彰化縣鹿港鎮文開國小,lukang,The teachers correct the students' work.,老師改同學的作業。,They use a red pen to correct the students' work.,他們使用紅筆來改學生的作業。,https://www.youtube.com/watch?v=JfSLS_JR0tk
kSki17syCEA,Word of the Day: test (n) 考試,test (n),考試,wenkai,彰化縣鹿港鎮文開國小,lukang,The students take tests in class.,同學們在課堂上考試。,They focus on taking their tests.,他們很專注於他們的考試。,https://www.youtube.com/watch?v=kSki17syCEA
VJMEmhmsciA,Word of the Day: earthquake drill (n) 地震演習,earthquake drill (n),地震演習,nanya,彰化縣社頭鄉湳雅國小,shetou,The students cover their heads during the earthquake drill.,在地震防災演練中，學生們用東西遮蓋頭部。,They go outside to learn more about an earthquake drill.,他們到教室外學習更多地震防災演練的知識。,https://www.youtube.com/watch?v=VJMEmhmsciA
AIaqHu4x854,Word of the Day: test (n) 考試,test (n),考試,datong,彰化縣伸港鄉大同國小,shenkang,The students are taking a test.,學生們正在考試。,Each student has to take the test independently and can’t get help from classmates.,每個學生都必須獨立參加考試，不能得到同學的幫助。,https://www.youtube.com/watch?v=AIaqHu4x854
Yx5N6kwAbRM,Word of the Day: jump rope competition 跳繩比賽,jump rope competition,跳繩比賽,hsinmin,彰化縣田中鎮新民國小,tianzhong,The students participate in a jump rope competition.,學生們參加跳繩比賽。,Many students participate in the jump rope competition.,許多學生參加跳繩比賽。,https://www.youtube.com/watch?v=Yx5N6kwAbRM
ZqXgeL7ye70,Word of the Day: shuttlecock (n) 毽子,shuttlecock (n),毽子,yuanchyuan,彰化縣二水鄉源泉國小,ershui,The kids are playing with a shuttlecock for the first time.,孩子們第一次玩毽子。,They are hitting their shuttlecock into the air and trying to catch it.,他們將毽子打向空中並試圖接住它。,https://www.youtube.com/watch?v=ZqXgeL7ye70
Xj3aXpbXCnc,Word of the Day: recycling (n) 回收,recycling (n),回收,wanlai,彰化縣北斗鎮萬來國小,beidou,Recycling is a way to reuse materials like paper and plastic.,資源回收是將紙類和塑膠之類的材質再次回收使用。,Recycling can help take care of the planet.,資源回收有助於照顧我們的地球。,https://www.youtube.com/watch?v=Xj3aXpbXCnc
xCEGHrVMko4,Word of the Day: Mother's Day cards 母親節卡片,Mother's Day cards,母親節卡片,wanlai,彰化縣北斗鎮萬來國小,beidou,These students are making Mother's Day cards for their mothers.,這些學生正在為他們的母親製作母親節卡片。,They draw pictures and put a message on their Mother's Day cards.,他們畫畫並在母親節卡片上留言。,https://www.youtube.com/watch?v=xCEGHrVMko4
j-cWRe1qJ8g,Word of the Day: CPR 心肺復甦術,CPR,心肺復甦術,wanlai,彰化縣北斗鎮萬來國小,beidou,Students are learning how to perform CPR.,學生們正在學習如何做CPR。,They use CPR manikins to practice CPR.,他們使用人體模型來練習做CPR。,https://www.youtube.com/watch?v=j-cWRe1qJ8g
82h7CNbk1UU,Word of the Day: school band (n) 學校樂隊,school band (n),學校樂隊,datong,彰化縣伸港鄉大同國小,shenkang,The school band provides music for the morning assembly.,學校樂隊為朝會儀式演奏音樂。,Students in the school band play different instruments.,學校樂隊的學生演奏不同的樂器。,https://www.youtube.com/watch?v=82h7CNbk1UU
5Rt8X10pCdo,Word of the Day: karate (n) 空手道,karate (n),空手道,wanlai,彰化縣北斗鎮萬來國小,beidou,Karate is a form of martial arts.,空手道是武術的一種形式。,The coach is teaching the moves in karate.,教練正在教空手道的動作。,https://www.youtube.com/watch?v=5Rt8X10pCdo
HOM4LMBZiyk,Word of the Day: dodgeball (n) 躲避球,dodgeball (n),躲避球,santan,彰化縣田中鎮三潭國小,tianzhong,The students are playing dodgeball.,學生們正在玩躲避球。,Dodgeball is a popular school game.,躲避球是一種流行的學校比賽。,https://www.youtube.com/watch?v=HOM4LMBZiyk
XItnjQxHFpM,Word of the Day: inflatable caterpillar (n) 充氣毛毛蟲,inflatable caterpillar (n),充氣毛毛蟲,wanlai,彰化縣北斗鎮萬來國小,beidou,Students are having fun with an inflatable caterpillar on the playground.,學生們開開心心地在操場上玩充氣毛毛蟲。,They work together to quickly move the inflatable caterpillar.,他們齊心協力，快速移動充氣毛毛蟲。,https://www.youtube.com/watch?v=XItnjQxHFpM
inftMamZwIc,Word of the Day: assemble (v) 組裝,assemble (v),組裝,sinjuang,彰化縣和美鎮新庄國小,hemei,The students assemble their robots.,學生們組裝他們的機器人。,They follow the instructions to assemble their robots.,他們按照說明組裝機器人。,https://www.youtube.com/watch?v=inftMamZwIc
Med7-VrHcfg,Word of the Day: scrape (n) 擦傷,scrape (n),擦傷,yuying,彰化縣員林市育英國小,yuanlin-city,The nurse attends to the scrape on the student's knee.,護理師處理學生膝蓋上的擦傷。,The nurse uses alcohol to clean the scrape on the student's knee.,護士用酒精清潔學生膝蓋上的擦傷。,https://www.youtube.com/watch?v=Med7-VrHcfg
6LNTGpfJWvc,Word of the Day: sing (v) 唱歌,sing (v),唱歌,yuanchyuan,彰化縣二水鄉源泉國小,ershui,The students sing the song in class.,學生們在課堂上唱歌。,The students sing along in class to the music.,學生們在課堂上跟著音樂唱歌。,https://www.youtube.com/watch?v=6LNTGpfJWvc
FKvyUYwtet0,Word of the Day: Chinese class (n) 國語課,Chinese class (n),國語課,yuanchyuan,彰化縣二水鄉源泉國小,ershui,The students are in Chinese class.,同學們正在上國語課。,They learn Chinese idioms in Chinese class.,他們在國語課學習中文的成語。,https://www.youtube.com/watch?v=FKvyUYwtet0
vTe0fMpsu_M,Word of the Day: mobile library (n) 行動圖書館,mobile library (n),行動圖書館,datong,彰化縣伸港鄉大同國小,shenkang,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=vTe0fMpsu_M
TEDB1VnSaBQ,Word of the Day: playground (n) 遊戲場,playground (n),遊戲場,datong,彰化縣伸港鄉大同國小,shenkang,The students play different games at the school playground.,學生們在學校遊樂場上玩著不同的遊戲。,The playground has monkey bars for students to hang on.,遊樂場有攀爬架讓學生玩。.,https://www.youtube.com/watch?v=TEDB1VnSaBQ
qhtx37I5c_4,Word of the Day: playground (n) 遊戲場,playground (n),遊戲場,yuanchyuan,彰化縣二水鄉源泉國小,ershui,"The children are jumping, sliding, and climbing at the playground.",小朋友在遊樂場上跳躍、溜滑梯和爬上爬下。,The children are enjoying playing at the playground with their friends.,小朋友喜歡和朋友在遊樂場玩耍。,https://www.youtube.com/watch?v=qhtx37I5c_4
yzK1bGY2-W0,Word of the Day: correct (v) 改正,correct (v),改正,yuanchyuan,彰化縣二水鄉源泉國小,ershui,The teachers correct the students' work.,老師改同學的作業。,They use a red pen to correct the students' work.,他們使用紅筆來改學生的作業。,https://www.youtube.com/watch?v=yzK1bGY2-W0
HKLzmzYiOdA,Word of the Day: recorder (n) 直笛,recorder (n),直笛,yuanchyuan,彰化縣二水鄉源泉國小,ershui,The recorder is the first musical instrument that many students learn.,直笛是很多學生學的第一項樂器。,You can play many songs on a recorder.,你可以用直笛吹奏很多歌曲。,https://www.youtube.com/watch?v=HKLzmzYiOdA
HuqTvoG42SM,Word of the Day: table tennis (n) 桌球,table tennis (n),桌球,xishi,彰化縣福興鄉西勢國小,fuxing,The students practice playing table tennis.,學生們練習打桌球。,Table tennis is a popular sport in Taiwan.,桌球是台灣流行的運動。,https://www.youtube.com/watch?v=HuqTvoG42SM
3_eJKHHfh3s,Word of the Day: talent show (n) 才藝表演,talent show (n),才藝表演,xishi,彰化縣福興鄉西勢國小,fuxing,A talent show is when students perform their special skills for others to enjoy.,才藝表演是學生表演特殊才藝給別人欣賞的機會。,"During the talent show, students sing, dance or do cup stacking.",在才藝表演中，學生唱歌、跳舞或堆疊杯子。,https://www.youtube.com/watch?v=3_eJKHHfh3s
Tmu7AzC9e1E,Word of the Day: magic (n) 魔術,magic (n),魔術,tuku,彰化縣竹塘鄉土庫國小,zhutang,The magician performs magic at the school.,魔術師在學校表演魔術。,He uses many different props to perform magic.,他使用很多道具來表演魔術。,https://www.youtube.com/watch?v=Tmu7AzC9e1E
5MWdN1jj6Cg,Word of the Day: art museum (n) 美術館,art museum (n),美術館,yuying,彰化縣員林市育英國小,yuanlin-city,The students go to an art museum.,學生們去美術館。,They follow a tour guide at the art museum.,他們跟著導遊來到藝術博物館。,https://www.youtube.com/watch?v=5MWdN1jj6Cg
t7NAKlSLTSU,Word of the Day: field trip (n) 校外教學,field trip (n),校外教學,raoming,彰化縣員林市饒明國小,yuanlin-city,The students go on a field trip.,學生們去校外教學。,They observed many new things during their field trip.,他們在校外教學觀察到許多新事物。,https://www.youtube.com/watch?v=t7NAKlSLTSU
Tz7b63uFk_c,Word of the Day: event (n) 活動,event (n),活動,yongfeng,彰化縣福興鄉永豐國小,fuxing,The school holds a special event to celebrate Children’s Day.,學校舉辦特別活動慶祝兒童節。,"At the event, students visit various stations around the school for a series of fun games.",活動中，學生們玩一系列有趣的闖關遊戲。,https://www.youtube.com/watch?v=Tz7b63uFk_c
_ETgawQRyUQ,Word of the Day: earthquake drill (n) 地震防災演練,earthquake drill (n),地震防災演練,heren,彰化縣和美鎮和仁國小,hemei,The students cover their heads during the earthquake drill.,在地震防災演練中，學生們用東西遮蓋頭部。,They go outside to learn more about an earthquake drill.,他們到教室外學習更多地震防災演練的知識。,https://www.youtube.com/watch?v=_ETgawQRyUQ
gYL5xM4QC8w,Word of the Day: station (n) 站,station (n),站,heren,彰化縣和美鎮和仁國小,hemei,Students go to different stations around the gym.,體育館內設立不同的站讓同學造訪。,Each station has an activity to help students practice speaking English.,每個站都有一個活動幫助學生練習說英語。,https://www.youtube.com/watch?v=gYL5xM4QC8w
0i0n6YPpRVE,Word of the Day: badminton (n) 羽球,badminton (n),羽球,heren,彰化縣和美鎮和仁國小,hemei,These students are learning to play badminton.,學生們正在學習打羽毛球。,Badminton can be a single or team sport.,羽毛球可以是單人運動，也可以是團隊運動。,https://www.youtube.com/watch?v=0i0n6YPpRVE
NrqBfDn0GVU,Word of the Day: scarecrow (n) 稻草人,scarecrow (n),稻草人,heren,彰化縣和美鎮和仁國小,hemei,The students are making a scarecrow.,學生們正在製作稻草人。,"To make a scarecrow, you need poles, straw, and old clothes.",製作稻草人需要桿子、稻草和舊衣服。,https://www.youtube.com/watch?v=NrqBfDn0GVU
wBrCZ-IF2aQ,Word of the Day: farm (v) 耕作,farm (v),耕作,nanya,彰化縣社頭鄉湳雅國小,shetou,The students learn about farming at school.,學生們在學校學習農業耕作的知識。,The school has land to farm different crops.,學校有土地可以種植不同的作物。,https://www.youtube.com/watch?v=wBrCZ-IF2aQ
3j5j8tjsS9c,Word of the Day: basketball practice (n) 籃球訓練,basketball practice (n),籃球訓練,nanya,彰化縣社頭鄉湳雅國小,shetou,The students dribble basketballs in basketball practice.,學生們在籃球訓練中運球。,They shoot and pass the ball in basketball practice.,他們在籃球訓練中投籃和傳球。,https://www.youtube.com/watch?v=3j5j8tjsS9c
8id8OtvBfZ8,Word of the Day: mochi (n) 麻糬,mochi (n),麻糬,nanya,彰化縣社頭鄉湳雅國小,shetou,The students make mochi.,學生們製作麻糬。,They make mochi by pounding sticky rice.,他們透過搗碎糯米來製作麻糬。,https://www.youtube.com/watch?v=8id8OtvBfZ8
T8_LJtjLnXo,Word of the Day: rollerblade (n) 溜直排輪,rollerblade (n),溜直排輪,nanya,彰化縣社頭鄉湳雅國小,shetou,These students are practicing to rollerblade.,這些學生正在練習溜直排輪。,Rollerblading can be for fun and also for exercise.,溜直排輪既可提供娛樂，又可作為運動。,https://www.youtube.com/watch?v=T8_LJtjLnXo
9K8Ylukq5Fg,Word of the Day: cross (v) 穿越、越過,cross (v),穿越、越過,nanya,彰化縣社頭鄉湳雅國小,shetou,Watch out for students crossing the road.,當心正在過馬路的學生。,Crossing guards stop traffic to let students cross the street safely.,交通導護阻擋車輛讓學生安全過馬路。,https://www.youtube.com/watch?v=9K8Ylukq5Fg
JXpt_uQ9zUM,Word of the Day: ocarina (n) 陶笛,ocarina (n),陶笛,mingli,彰化縣田中鎮明禮國小,tianzhong,These students are playing the ocarina.,這些學生正在吹陶笛。,The ocarina is a musical wind instrument.,陶笛是一種管樂器。,https://www.youtube.com/watch?v=JXpt_uQ9zUM
CIDp4UEffPc,Word of the Day: snakeboard (n) 蛇板,snakeboard (n),蛇板,nanya,彰化縣社頭鄉湳雅國小,shetou,The students are practicing riding their snakeboards.,學生們正在練習滑板。,The students ride their snakeboards together.,學生們一起騎蛇板。,https://www.youtube.com/watch?v=CIDp4UEffPc
Cn5adqutUls,Word of the Day: professional development (n) 專業進修,professional development (n),專業進修,mingli,彰化縣田中鎮明禮國小,tianzhong,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,https://www.youtube.com/watch?v=Cn5adqutUls
Rvjzow2Nz3I,Word of the Day: calligraphy (n) 書法,calligraphy (n),書法,tianjhong,彰化縣田中鎮田中國小,tianzhong,The boys and girls are learning traditional Chinese calligraphy.,男孩和女孩正在學習中國傳統書法。,"To get good at calligraphy, you have to have a lot of patience!",要練好書法，必須有足夠的耐心！,https://www.youtube.com/watch?v=Rvjzow2Nz3I
B-fHA7pqfCw,Word of the Day: math class (n) 數學課,math class (n),數學課,yushin,彰化縣福興鄉育新國小,fuxing,The students are in math class.,學生們正在上數學課。,The teacher teaches math in math class.,老師在數學課教數學。,https://www.youtube.com/watch?v=B-fHA7pqfCw
VNWLX8lBam0,Word of the Day: award (n) 獎,award (n),獎,yongfeng,彰化縣福興鄉永豐國小,fuxing,Each student receives an award.,每個學生都接受頒獎。,The principal gives each student their award.,校長頒發獎項給每個小朋友。,https://www.youtube.com/watch?v=VNWLX8lBam0
kFZhfegl-RU,Word of the Day: cross (v) 穿越,cross (v),穿越,tianjhong,彰化縣田中鎮田中國小,tianzhong,Watch out for students crossing the road.,當心正在過馬路的學生。,Crossing guards stop traffic to let students cross the street safely.,交通導護阻擋車輛讓學生安全過馬路。,https://www.youtube.com/watch?v=kFZhfegl-RU
ucDrg4VEWrA,Word of the Day: sweep (v) 掃,sweep (v),掃,tianjhong,彰化縣田中鎮田中國小,tianzhong,"Every day, students sweep away fallen leaves on school grounds.",每天學生打掃校園的落葉。,"Students in Taiwan sweep the school grounds, keeping them clean and neat.",台灣的學生打掃校園，保持校園的乾淨整齊。,https://www.youtube.com/watch?v=ucDrg4VEWrA
7P9yRxBf3jA,Word of the Day: martial arts (n) 武術,martial arts (n),武術,yongfeng,彰化縣福興鄉永豐國小,fuxing,The teacher leads the students in their martial arts lesson.,老師在武術課中帶領學生做動作。,The students practice different martial arts moves.,學生們練習不同武術的招式。,https://www.youtube.com/watch?v=7P9yRxBf3jA
MvZMiydEgK0,Word of the Day: conductor (n) 指揮,conductor (n),指揮,xishi,彰化縣福興鄉西勢國小,fuxing,The conductor's job is to direct the musicians.,指揮的工作是引導音樂表演者。,The conductor stands facing the musicians.,指揮站立的方向是面對音樂表演者。,https://www.youtube.com/watch?v=MvZMiydEgK0
4CaXIQ02fNY,Word of the Day: recorder ensemble (n) 直笛團,recorder ensemble (n),直笛團,xishi,彰化縣福興鄉西勢國小,fuxing,The school's recorder ensemble is playing a song.,學校直笛團正在表演一首歌。,Students in the recorder ensemble play different sized recorders.,直笛團的學生吹奏不同大小的直笛。,https://www.youtube.com/watch?v=4CaXIQ02fNY
MlacebR0DHk,Word of the Day: basketball (n) 籃球,basketball (n),籃球,dajuang,彰化縣溪州鄉大莊國小,xizhou,The students play basketball outside.,同學們在外面打籃球。,They shoot the ball when playing basketball.,他們在打籃球的時候投籃。,https://www.youtube.com/watch?v=MlacebR0DHk
8mcUuJW_51g,Word of the Day: spelling contest (n) 拼字比賽,spelling contest (n),拼字比賽,xishi,彰化縣福興鄉西勢國小,fuxing,"In the spelling contest, the teacher reads aloud a word for students to spell.",在拼字比賽中，老師大聲讀出一個單字讓學生拼出來。,The students write the word and hold up their paper in the spelling contest.,在拼字比賽中，同學們將字寫下來並且將他們的白板舉高。,https://www.youtube.com/watch?v=8mcUuJW_51g
DpjlOlJKtis,Word of the Day: soccer (n) 足球,soccer (n),足球,hsinyi,彰化縣彰化市信義國中小,changhua-city,Soccer is a very popular sport.,足球是很受歡迎的運動。,The students are having a lot of fun playing soccer.,同學們正享受踢足球的樂趣。,https://www.youtube.com/watch?v=DpjlOlJKtis
RP_7kp-cQTU,Word of the Day: correct (v) 改正,correct (v),改正,hsinyi,彰化縣彰化市信義國中小,changhua-city,The teachers correct the students' work.,老師改同學的作業。,They use a red pen to correct the students' work.,他們使用紅筆來改學生的作業。,https://www.youtube.com/watch?v=RP_7kp-cQTU
Sh-M_OqqcIg,Word of the Day: test (n) 考試,test (n),考試,dajuang,彰化縣溪州鄉大莊國小,xizhou,The students take tests in class.,同學們在課堂上考試。,They focus on taking their tests.,他們很專注於他們的考試。,https://www.youtube.com/watch?v=Sh-M_OqqcIg
eCEAm5EVq4c,Word of the Day: math class 數學課,math class,數學課,dajuang,彰化縣溪州鄉大莊國小,xizhou,The students are in math class.,學生們正在上數學課。,The teacher teaches math in math class.,老師在數學課教數學。,https://www.youtube.com/watch?v=eCEAm5EVq4c
