keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
sculpture (n.),雕塑品,The students visit an art museum during a field trip to see different sculptures.,學生們在校外教學期間參觀了藝術博物館，欣賞不同的雕塑。,They learn about sculpture works made by Taiwanese artists.,他們了解台灣藝術家的雕塑作品。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=rEsCnRVtGTs
smoke (n.),煙,The students learn how to escape safely when there is smoke.,學生學習如何在有煙霧的情況下安全逃生。,They crouch down and move carefully to stay away from the smoke.,他們蹲下並小心移動以遠離煙霧。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=cIuQTQfx4Is
mouthwash (n.),漱口水,The students follow the steps to rinse with mouthwash properly.,學生們依照步驟正確地用漱口水漱口。,They use mouthwash to keep their mouths clean.,他們使用漱口水來保持口腔清潔。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=eLlY7Iopp4E
technology (n.),科技,Technology is an important part of modern education.,科技是現代教育的重要組成部分。,Some teachers use technology in the classroom to help students learn better.,有些老師在課堂上使用科技來幫助學生更好地學習。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=VEUEE_-MfOw
restroom (n.),洗手間,"During cleaning time, some students help clean the school restroom.",清潔時間，有學生幫忙打掃學校廁所。,They work together to keep the restroom clean and nice for everyone.,他們齊心協力，讓浴室保持乾淨美觀。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=Wl2LMfx8SIY
volunteer (n.),志工,A volunteer comes to school to tell a story.,一位志工到學校講故事。,The students follow along to the volunteer's story.,同學們聽著講志工的故事。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=kmHOTLGD6kM
sweep (v.),掃,"Every day, students sweep away fallen leaves on school grounds.",每天學生打掃校園的落葉。,"Students in Taiwan sweep the school grounds, keeping them clean and neat.",台灣的學生打掃校園，保持校園的乾淨整齊。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=lhQpKH7Q25w
tomato (n.),蕃茄,The little girl is picking tomatoes on the school farm.,小女孩正在學校農場採摘番茄。,She checks the tomatoes and picks only the ripe ones.,她檢查番茄，只摘成熟的。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=02gs4lJqrNo
workbook (n.),習作,The students are writing in their workbooks.,學生們正在寫習作。,The teacher is checking the students' work.,老師正在改學生的習作。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=yYUAO1r4vMw
firefighter (n.),消防員,The firefighter is teaching the students about basic water safety.,消防員正在指導學生指導基本的水上安全提示。,The firefighter is showing the students how to use a life preserver.,消防員示範如何使用救生圈。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=M3aA3th7ZBQ
agriculture class (n.),食農課程,The students participate in different activities in agriculture class.,學生在農業課上參加不同的活動。,They learn where their food comes from in agriculture class.,他們在農業課上了解食物的來源。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=qWHE4erMU3w
grow vegetables (v.),種植蔬菜,The students learn how to grow vegetables.,學生學習如何種植蔬菜。,They plant a seed in a pot to grow vegetables.,他們在花盆裡種下種子來種植蔬菜。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=06ywLtigP-M
incense (n.),香,The students make cow dung incense by hand on campus.,學生們在校園裡手工製作牛糞香。,"They mix, shape, and dry the incense as part of the activity",作為活動的一部分，他們將香混合、塑形和乾燥,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=PFO6vr9-Aqc
water buffalo (n.),水牛,"The students meet a big, gentle water buffalo on the school grounds.",學生們在校園裡遇見了一頭巨大、溫馴的水牛。,They listen to the guide and learn fun facts about the water buffalo.,他們聽導遊講解並了解水牛的有趣事實。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=Hbb8yPXU_RY
storyteller (n.),說故事的人,The storytellers can use real or fictional information to tell a story.,說故事的人可能用真實或者是虛構的情節來說故事。,A good storyteller teaches a lesson and entertains you at the same time.,一個擅長講說故事的人可以教導大家道理，同時又兼具娛樂大眾。,彰化縣芬園鄉文德國小,https://www.youtube.com/watch?v=weKALaPaQ1s
dance (v.),跳舞,The students dance to the gentle melody with silk scarves.,學生們手拿絲巾，隨著輕柔的旋律翩翩起舞。,They feel the rhythm and beauty of the music as they dance.,他們在舞蹈中感受到音樂的節奏和美感。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=7RnuDRl4JM8
field trip (n.),校外教學,The students go on a field trip to try different hands-on activities.,學生們參加校外教學，嘗試不同的動手活動,"During the field trip, they experience many new things.",在這次校外教學中，他們體驗很多新的事物。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=aFNe1fGNq7Q
group photo (n.),團體照,"The photographer is taking group photos of all the graduates, teachers, and the principal.",攝影師正在為全體畢業生、老師、校長拍攝合照。,"All the graduates, teachers, and the principal are having group photos taken at school.",全體畢業生、老師、校長在學校拍照。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=HaNHZptNdS8
serve (v.),打菜,The students serve lunch to their classmates.,學生為同學打菜。,The task of serving changes every week.,打菜的工作每週輪替一次。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=yyO4T4Fza74
English (n.),英語,The teacher is teaching English at the front of the classroom.,老師正在教室前面教英文。,The students are paying attention to the teacher as she teaches English.,老師講英語時，學生們都在專心聽講。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=I26LurOg_s0
lever (n.),槓桿,The students are learning about the lever principle.,學生們正在學習槓桿原理。,They place different weights to see how the lever stays balanced.,他們放置不同的重物來觀察槓桿如何保持平衡。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=WEvDBgo8nNA
planisphere (n.),星盤圖,The students use a planisphere to learn about stars and constellations.,學生使用星盤圖來了解星星和星座。,They find different constellations by rotating the planisphere.,他們透過旋轉星圖來尋找不同的星座。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=qP0tesLjebs
seed (n.),種子,The students are planting bean seeds.,學生們正在播種豆子。,The seeds will grow into plants.,種子會長成植物。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=KtyyrH29FG8
paint (v.),彩繪,The students get ready to paint their lanterns.,同學們準備好要為他們的燈籠彩繪。,They paint different designs on their lanterns.,他們在燈籠上面畫上不同的樣式。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=ZuESQhFuHtE
Taiwanese Read Aloud Competition (n.),閩南語朗讀比賽,The school is hosting the Taiwanese Read-Aloud Competition to help students enhance their Taiwanese speaking skills.,學校正在舉辦台語朗讀比賽，以幫助學生提升台語口語能力。,"By participating in the Taiwanese Read-Aloud Competition, students can practice their pronunciation, fluency, and expression in Taiwanese.",透過參加台語朗讀比賽，學生可以練習台語的發音、流暢度和表達能力。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=J9ParuoRP5E
campfire (n.),營火,"During winter camp, the students learn how to perform a fire dance before lighting the campfire.",冬令營期間，學生在點燃營火前學習如何表演火舞。,They take turns reciting a pledge and have fun around the campfire.,他們輪流宣讀誓言，在營火旁玩樂。,彰化縣彰化市民生國小,https://www.youtube.com/watch?v=iRDTBj_2DX8
doodle (v.),塗鴉,The students doodle on the blackboard with chalk.,學生用粉筆在黑板上塗鴉。,They have fun doodling different characters and shapes.,他們很開心地塗鴉不同的人物和形狀。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=QEPjE5E0eek
baseball (n.),棒球,"The school baseball team practices throwing, catching, and running.",學校棒球隊練習投球、接球和跑動。,They work on basic baseball skills to improve their performance.,他們練習棒球基本技能以提高自己的表現。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=ayp5bXjrrC0
inline skating (n.),直排輪,The students learn some basic inline skating movements.,學生學習一些基本的直排輪滑動作。,They practice inline skating with balance and coordination to play inline hockey.,他們練習溜直排輪，掌握平衡和協調技能，以便打直排輪曲棍球。,彰化縣田中鎮田中國小,https://www.youtube.com/watch?v=0JdpgXPJFg8
basketball court (n.),籃球場,The kids are playing on the basketball court.,小朋友在籃球上打籃球。,Most basketball courts have a hoop on each side.,大部分的籃球場兩邊各有一個籃框。,彰化縣鹿港鎮鹿港國小,https://www.youtube.com/watch?v=FqaSGsWc7eQ
learning (n.),學習,Alumna Huang Ya-xuan came back to school to share her learning journey and encourage students to love learning.,田頭國小校友黃雅萱重返校園，分享學習心路歷程，鼓勵同學熱愛學習。,She gave the students tips for effective learning and encouraged them to have a positive attitude towards learning.,她分享學生提供了有效學習的秘訣，並鼓勵他們對學習抱持正向的心態。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=hZrWIWss9Ao
meatball (n.),貢丸,They shape the meat mixture and boil the meatballs.,他們將肉類混合物塑形並煮肉丸。,"During their field trip, the students learn how to make meatballs step by step.",在實地考察期間，學生們一步一步學習如何製作肉丸。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=kZbFExfomgo
practice (v.),練習,The teacher encourages the young elementary students to take turns and practice speaking.,老師鼓勵小學生輪流練習說話。,They not only practice expressing themselves but also practice being good listeners.,他們不僅練習表達自己，也練習成為好的傾聽者。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=kpUhoavRn0c
hallway (n.),走廊,The students walk in the hallway during recess.,學生們在下課時間走在走廊上。,They walk through the hallway to get to their classroom.,他們穿過走廊去教室。,彰化縣伸港鄉大同國小,https://www.youtube.com/watch?v=WSUFqOYP15s
announcement (n.),通知,The teacher makes important announcements during the class.,老師在課堂上發佈重要公告。,The students pay attention to the teacher's announcements.,學生們專心聆聽老師的公告。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=9vC7yCe7w4w
shot put (n.),鉛球,The students are practicing shot put in the field.,同學在操場上練習推鉛球。,The students are taking turns doing shot put for track and field.,同學們輪流推鉛球為田徑賽做準備。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=_E2ksUZTd_c
swing (v.),盪鞦韆,"During recess, students like to swing.",下課時，學生們喜歡玩盪鞦韆。,You kick your legs up and down to swing.,盪鞦韆時，你的腳要上下踢動。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=oD_wu9xsp5I
social studies (n.),社會科,The teacher is teaching social studies.,老師正在教社會科。,The students pay attention to the teacher teaching social studies.,學生們在老師教社會科的時候全神貫注。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=8Pj6ueDTaDA
tablet (n.),平板,The students are using tablets with keyboards in class.,同學們在課堂上使用加上鍵盤的平板。,The students are using their tablets to learn new things in class.,同學們在課堂上使用他們的平板來學習新的事物。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=TVipx8NZP4o
Taiwanese (n.),台語,The students learn Taiwanese in class.,同學們在課堂上學習台語。,They learn Taiwanese by watching a video in class.,他們觀看影片學習台語。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=aBZGoIKvgFA
shoes (n.),鞋子,The students are taking off their shoes and changing into indoor slippers.,學生們正在脫鞋，換上室內拖鞋。,They follow the rule of switching shoes before entering the classroom to keep it clean.,他們遵守進入教室前換鞋的規則，以保持教室清潔。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=ftn_MFXJQ0U
mark (v.),批改,The teacher asks the students to exchange and mark each other's worksheets.,老師請學生交換並批改彼此的作業。,The students have to be careful to mark any mistakes with a red pen.,學生必須小心地用紅筆標記任何錯誤。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=v9_6h0PDqOk
xylophone (n.),木琴,The students are learning to play the xylophone by reading sheet music.,學生們正在透過閱讀樂譜學習彈奏木琴。,The xylophone is played by striking the bars with a small mallet to produce sound.,木琴的演奏是用小槌敲擊琴條來產生聲音。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=XsML59dkDbY
plant (n.),種植,The students are learning how to plant sweet potato vines.,學生們正在學習如何種植地瓜藤。,"They dig the soil, plant the slips, and water them to help them grow.",他們挖土、種植地瓜苗，並澆水來幫助它們生長。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=aVP48XfRRKc
play (v.),話劇,The students are performing an English play on stage.,學生們正在舞台上表演英文話劇。,"By acting in the play, they practice speaking English in a fun way.",透過演戲，他們以有趣的方式練習英語口說。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=EZzknAYwx0A
firefighter (n.),消防員,The firefighters come to the school to teach students proper fire safety.,消防員來到學校，教導學生正確的防火安全知識。,The firefighters are also teaching the students about basic water safety using a lifebuoy.,他們還使用救生圈，向學生講解基本的水上安全知識。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=viv_-_dd_0A
PACER test (n.),漸速耐力折返跑測驗,"The students are doing the Pacer Test on the track, running back and forth as the beeps get faster.",學生們正在跑道上進行漸速耐力折返跑測驗，隨著嗶聲加快，他們來回奔跑。,The Pacer Test helps check their heart and lung endurance by making them run longer and faster.,這項測驗可以測試他們的心肺耐力，讓他們跑得更久、更快。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=PipAXDdOgRM
brick (n.),磚,The students took part in a hands-on workshop at the brick kiln.,學生們參加了磚窯的實作研討會。,They used miniature brick molds to create handcrafted brick candle holders.,他們使用微型磚模製作手工磚燭台。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=IhNchnHhOkg
kiln (n.),窯,The students went on a field trip to visit a brick kiln factory.,學生們進行了校外教學，參觀了磚窯廠。,They listened to the guide’s explanation of the history of the brick kiln factory.,他們聆聽導遊講解磚窯廠的歷史。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=kFo28vJUdWQ
chocolate (n.),巧克力,The students are learning to make chocolate fondue.,彰化縣芳苑鄉 新寶國小,"They melt the chocolate and dip fruit, marshmallows, and cookies for a delicious treat.",學生們正在學習製作巧克力火鍋。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=-t1B8qelOHw
woodworking (n.),木工,The students are creating wooden crafts in their woodworking class.,學生們在木工課上製作木製工藝品。,"During the woodworking class,they are learning how to hammer nails and use an electric drill.",在木工課上，他們學習如何釘釘子和使用電鑽。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=jpImVSav4II
farming (v.),耕作,The students gathered in the library for a lesson on food and farming education.,學生們聚集在圖書館上食農業教育課。,They learned how these traditional farming tools were used in daily rural life in the past.,他們學習傳統農具在過去的農村日常生活中是如何使用的。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=jiWclq8xfb0
science class (n.),自然課,"The students are making Tanghulu, popcorn, and chocolate fondue in their science class.",學生在科學課上製作糖葫蘆、爆米花和巧克力火鍋。,"Through these hands-on activities, they are exploring scientific principles and applying their knowledge in fun ways during science class.",透過這些實作活動，他們在科學課上探索科學原理並以有趣的方式運用他們的知識。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=paNxsjb5a5U
coffee (n.),咖啡,"The students learned how to make pour-over coffee stands by cutting, drilling, and sanding wood during the coffee class.",學生們在咖啡課上學習如何透過切割、鑽孔和打磨木材來製作手沖咖啡架。,"They also learned how to roast and grind coffee beans, then packed the coffee powder into drip coffee bags.",他們還學習如何烘焙和研磨咖啡豆，然後將咖啡粉放入滴濾咖啡袋。,彰化縣芬園鄉同安國小,https://www.youtube.com/watch?v=uf423_wufsE
fitness test (n.),體適能檢測,The school organized a physical fitness test for teachers and staff to assess their overall health and fitness levels.,學校組織教職員進行體能檢測，以評估他們的整體健康狀況。,This fitness test aims to promote the importance of regular exercise and maintaining good physical condition for a healthier lifestyle.,此次檢測旨在宣傳定期運動和保持良好身體狀況對於更健康生活方式的重要性。,彰化縣福興鄉西勢國小,https://www.youtube.com/watch?v=L1I3S2Fk2v0
fruit (n.),水果,The students are learning how to make fruit platters.,學生們正在學習如何製作水果拼盤。,They arrange fruit to create creative designs on slices of toast.,他們將水果排列在麵包片上，形成創意十足的圖案。,彰化縣彰化市南興國小,https://www.youtube.com/watch?v=53lQk6d7U1c
dye (v.),染,The students are following the teacher’s instructions to dye fabric.,學生們正按照老師的指示染布料。,"They use different dyes, rubber bands, and white handkerchiefs to create their designs.",他們使用不同的染料、橡皮筋和白手帕來創造他們的設計。,彰化縣彰化市南興國小,https://www.youtube.com/watch?v=auwUAvR7R1I
water rocket (n.),水火箭,The students are assembling car-shaped water rockets.,學生們正在組裝汽車形水火箭。,"Using the principles of water rocket propulsion, they also compete in races.",他們也利用水火箭推進的原理來參加比賽。,彰化縣彰化市南興國小,https://www.youtube.com/watch?v=8LminEhL7y8
eco-pond (n.),生態池,The school's eco-pond helps plants and animals grow.,學校的生態池塘有助於植物和動物的生長。,"In the eco-pond, water plants and small fish can be seen living in harmony.",生態池中，水草與小魚和諧相處。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=N1lSEpoX054
art class (n.),美勞課,"The students are making ""springy animals"" in art class.",美術課上，學生們正在製作「彈力動物」。,They fold and color paper strips to create springy legs for their animals in art class.,他們在美術課上折疊和著色紙條來為動物製作有彈性的腿。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=EXK39ccV3_I
dance (v.),跳舞,The students dance to the music.,學生們跟隨著音樂節奏跳舞。,The students dance together in class.,學生們在課堂上一起舞蹈。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=vLt_YUzBhT8
drum (n.),鼓,The drum is a common instrument in Taiwan.,鼓是台灣常見的樂器。,The students are practicing playing the drums.,學生們正在練習打鼓。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=QX07M6bx-VM
stretch (v.),伸展,The students are doing their stretching exercise.,學生們正在做伸展運動。,Streching helps muscles and joints stay healthy.,拉伸有助於肌肉和關節保持健康。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=bvOWvfLmusY
rollerblade (v.),溜直排輪,These students are practicing to rollerblade.,這些學生正在練習溜直排輪。,Rollerblading can be for fun and also for exercise.,溜直排輪既可提供娛樂，又可作為運動。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=6b6ao2mwaKI
soccer ball (n.),足球,The students learn how to dribble a soccer ball.,學生學習如何連續帶球。,They shoot the soccer ball.,他們射門。,彰化縣芬園鄉同安國小,https://www.youtube.com/watch?v=CqcF1LBSQ_w
soccer (n.),足球,Soccer is a popular sport around the world.,足球是世界上非常流行的運動。,The students are playing in a soccer game.,學生正在進行一場足球賽。,彰化縣芬園鄉同安國小,https://www.youtube.com/watch?v=yEsYoOCDVqI
violin (n.),小提琴,The students practice the violin in class.,學生們在課堂上練習小提琴。,They follow the teacher's instructions to play the violin.,他們按照老師的指示拉小提琴。,彰化縣芬園鄉同安國小,https://www.youtube.com/watch?v=9Vk59yuc0W8
contraption (n.),裝置,The students are making different contraptions with building blocks.,學生們用積木打造不同的裝置。,They follow instructions to build their contraptions.,他們遵循指示來建造他們的裝置。,彰化縣芬園鄉同安國小,https://www.youtube.com/watch?v=Fbr5prpwOzg
taco (n.),塔可餅 （墨西哥捲餅）,The students are making tacos by preparing tortillas and adding delicious fillings.,學生們正在製作墨西哥捲餅，準備玉米餅並添加美味的餡料。,The students are making their own tacos by rolling the dough and cooking it in a pan.,學生們正在製作自己的墨西哥捲餅，他們將麵團擀開，然後放在平底鍋裡煎。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=YkxvHKQSTPU
cartons (n.),紙盒,The students are cleaning cartons as part of their recycling project.,資源回收的一部分，學生們正在清理飲料紙盒。,They cut open the cartons and rinse them thoroughly.,他們剪開飲料紙盒並徹底沖洗。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=bnG3g-SDxjs
closing ceremony (n.),結業式,The school is hosting a closing ceremony to mark the end of the semester.,學校正在舉辦閉幕式，標誌著學期的結束。,"During the closing ceremony, awards are presented, and teachers share reminders for the winter break.",閉幕式上，教師們進行了頒獎，並分享了寒假的提醒。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=M2WYHV7kEes
poster (n.),海報,The students are drawing illustrations for a poster.,學生們正在繪製海報插圖。,They are collaborating to complete the poster as a team.,他們正在合作完成海報。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=Uui5xZE9wVw
e-card (n.),電子賀卡,The students are designing e-cards on their tablets to celebrate the Lunar New Year.,學生們正在平板電腦上設計電子賀卡來慶祝農曆新年。,They use creative elements to make their e-cards festive and unique for 2025.,他們運用創意元素，使他們的 2025 年電子賀卡充滿節日氣氛且獨一無二。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=tX-emnYI4XM
card game (n.),紙牌遊戲,The students are playing a card game.,學生們正在玩紙牌遊戲。,The card game helps enhance students' logical thinking and focus.,紙牌遊戲有助於增強學生的邏輯思維和專注力。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=_7pEYx_awL8
prize (n.),獎品,The students go to the table to choose a prize.,學生來到桌邊選擇獎品。,They turn in their points to receive a prize.,他們交出點數兌換獎品。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=B565DXaJWbo
pot (n.),花盆,The students put soil and seeds in the pot.,學生將土壤和種子放入花盆中。,The students water the seeds in the pots.,學生們給花盆裡的種子澆水。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=hd0a4fAbBs4
spring couplet (n.),春聯,The students are writing square spring couplets for the Chinese New Year celebration.,學生們正在寫方形春聯，慶祝農曆新年。,The principal is helping the students write square spring couplets.,校長正在協助學生寫春聯。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=8wI00_ituz0
jump (v.),跳躍,The students practice the long jump.,學生們練習跳遠。,"After each jump, the teacher measures the distance.",每次跳遠後，老師都會測量跳多遠的距離。,彰化縣永靖鄉福興國小,https://www.youtube.com/watch?v=Kf3VL1AzXvk
tee-ball (n.),樂樂棒球,"In tee-ball, you hit the ball with a bat.",在玩樂樂棒時，您使用球棒擊球。,"To score a point in tee-ball, the runner has to get to the home plate.",要在樂樂棒的比賽中得分，跑者必須到達本壘。,彰化縣北斗鎮北斗國小,https://www.youtube.com/watch?v=hmwmqBaUMAw
reindeer model (n.),馴鹿模型,The students and teachers work together to assemble a reindeer model.,學生和老師一起合作組裝馴鹿模型。,The reindeer model will be displayed as part of the Christmas decorations.,馴鹿模型將作為聖誕裝飾的一部分展出。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=c7L9SKjcVwI
Chinese New Year (n.),農曆新年,The teacher allows students to decorate the blackboard with their artwork for the Chinese New Year celebration.,老師允許學生用自己的藝術作品裝飾黑板，慶祝農曆新年。,Students use chalk to draw festive pictures on the blackboard to celebrate Chinese New Year.,學生們用粉筆在黑板上畫節慶的圖畫來慶祝農曆新年。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=KlszMS9bbEg
paper model house (n.),紙模型屋,The students make paper model houses.,學生製作紙模型房屋。,They punch out the pieces from a kit to assemble their paper model houses.,他們從工具箱中取出零件來組裝紙模型房子。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=enImMMSidp0
PaGamO (n.),打Game學,Tzu Chi volunteers taught students about environmental protection and disaster prevention using PaGamO.,慈濟志工利用PaGamO向學生講授環保及防災知識。,"Through PaGamO, a gamified online learning platform, students explored these topics in a fun and engaging way.",透過遊戲化的線上學習平台 PaGamO，學生們以有趣且引人入勝的方式探索這些主題。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=GblFq7V0swU
poster (n.),海報,Students work together to design a large poster celebrating the arrival of 2025.,學生們共同設計了一張慶祝 2025 年到來的大型海報。,The poster highlights their creativity and excitement for the New Year.,海報彰顯了他們的創造力和對新年的興奮之情。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=CPF0UMeqL80
touch screen TV (n.),觸控螢幕電視,The students practice spelling on an interactive touch screen TV.,學生們在互動式觸控螢幕電視上練習拼字。,They use the touch screen TV to select and arrange letters to form words.,他們使用觸控螢幕電視來選擇和排列字母來組成單字。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=rVPhW_J3OXw
breathing light (n.),呼吸燈,The students are learning to program an LED to create a breathing light by following the teacher’s instructions.,學生們正在按照老師的指示學習對LED進行編程，以產生呼吸燈。,"The breathing light slowly pulsates between bright and dim, almost as if it’s breathing.",呼吸光在明亮和暗淡之間緩慢脈動，就像在呼吸一樣。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=X9FqxhSSYM4
draw (v.),抽獎,"Today, children enjoyed one of their favorite activities, a lucky raffle draw for the school's reading activity!",今天，孩子們享受了他們最喜歡的活動之一——學校讀書活動幸運抽獎！,"Representatives from each class were there to make sure the draw was fair and honest, so everyone could trust the results.",每個班級的代表都在場，以確保抽獎公平、誠實，以便抽獎結果能取信於每個人。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=ThQgMdr0qxE
wood (n.),木頭,The students are making cats out of wood in woodworking class.,木工課上，學生們正在用木頭製作貓。,They use a special tool to etch the faces onto the wood.,他們使用特殊的工具將貓臉蝕刻在木頭上。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=POpnVJ1aYgU
online class (n.),線上課程,College students lead an online class for elementary students.,大學生帶領小學生上線上課程。,Students practice their bilingual skills in the online class.,同學們在線上課程練習雙語的技能。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=7Fq3H6B7it8
distance learning (n.),遠距學習,The students participate in a distance learning program.,學生參加遠距學習計畫。,"In the distance learning program, the students focus on learning English.",在遠距學習計畫中，學生專注於學習英語。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=inQwLGDarUI
fitness test (n.),體能測驗,The students are practicing for their fitness test.,學生們正在為體能測驗進行練習。,A fitness test may include sit-ups and stretches.,體能測試可能包括仰臥起坐和伸展運動。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=enZ4Zlce5yQ
award (n.),獎,The students receive awards at the ceremony.,學生們在典禮時獲頒獎項。,They gather together to receive their awards.,他們聚在一起領獎。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=nsuraaBXFbo
Christmas celebration (n.),慶祝聖誕,Santa Claus greets the students during the Christmas celebration.,在聖誕慶祝活動當中，聖誕老人向同學們問候。,Santa Claus gives gifts to the students during the Christmas celebration.,在聖誕慶祝活動中，聖誕老人送禮物給學生們。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=aT-JZ2kCkZo
Wisdom Ball (n.),巧智球,"The teacher introduces the Wisdom Ball to the students, encouraging them to interact with its dials and sliders.",老師向學生介紹智慧球，鼓勵他們與球盤和滑塊互動。,"Using the Wisdom Ball helps students improve their logical thinking, focus, and patience.",使用智慧球可以幫助學生提升邏輯思考、專注力和耐心。,彰化縣溪州鄉三條國小,https://www.youtube.com/watch?v=uk1kHXCAxIg
sewing machine (n.),縫紉機,The teacher helps the students use a sewing machine.,老師幫助學生使用縫紉機。,The student practices using a sewing machine.,學生練習使用縫紉機。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=kUKcGofzGOk
snack (n.),點心,The teacher prepares toasted bread with chocolate filling as a snack for the students.,老師為學生準備了夾有巧克力的烤麵包當點心。,The students happily enjoy the snack.,學生們開心地享用小吃。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=F2rII-KZYw4
essay (n.),作文,The teacher is reviewing students' essays.,老師正在批改學生的作文。,The teacher marks areas in the essays that need improvement.,老師標記出文章中需要改進的地方。,彰化縣二林鎮萬興國小,https://www.youtube.com/watch?v=PocRn5A-qlI
rhythm (n.),節奏,The teacher uses claves to create a rhythm for the students to follow.,老師使用響棒打節奏讓學生跟節拍。,They move in sync with the rhythm set by the teacher.,他們隨著老師的節奏同步做動作。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=ePD7tg5j2bs
